"","V1","mxm_id","artist_uri","artist_name","lyrics_name","lyrics_topic","release_date","artist_playlist_frequency","artist_topic","release_year","release_year_bin","artist_playlist_frequency_bin","error","Is a match ?","Sandy","Jay","Andrew","Keep"
"16",15,16074172,"6udJK7LOJH6D3OPaOzv6r9","Penal Colony","Warsaw",5,1994-01-01,2,20,1994,10,1,0.1635390327,"O","O","O","o",""
"17",16,61210999,"6DBJB6SiWtKlPviW9AoYOr","Preschool Tea Party Massacre","Alfred, Do You Like Ice Cream?",7,2006-07-22,3,4,2006,11,2,0.1428859154,"O","O","O","o",""
"18",17,102814436,"7xTMxqAmbtE0Nce5lz7t0h","Orphaned Land","Olat Ha'tamid",0,2010-07-13,15,11,2010,12,5,0.1282904919,"O","X","X","x",""
"19",18,205113268,"5uUzxx7ePSFCjNz3DYRqrd","Venise","Pocket of Dreams (Open Wide)",6,2020-11-06,1,17,2020,13,0,0.1158781635,"O","O","O","o",""
"20",19,99526020,"6Lhdde9Dp3ypYfdgbk2nRf","Liquid Gold","Dance Yourself Dizzy",3,2008-04-28,8,12,2008,11,4,0.1049096616,"O","O","O","o",""
"21",20,152156851,"7htyUKqAPLpbTA9nkEhGRf","Barbara Dane","When I Was a Young Girl",1,1899-12-31,31,6,1899,0,5,0.09341719326,"o","O","O","o",""
"22",21,17997657,"6JOOdNj8DMXHtPO470pyHE","Pannonia Allstars Ska Orchestra","Hungarian Dish",2,2011-01-27,3,21,2011,12,2,0.08306591846,"o","?","O","o",""
"23",22,55713838,"1hnGjQYIeEHbqWKwh10Oz6","Vernon Dalhart","The wreck of the old 97",6,1925-01-01,5,16,1925,3,3,0.07182728161,"o","O","O","o",""
"24",23,97622225,"4lB4GxfCWC7Hhlzb20lhCg","Fleshquartet","Over The Rainbow",6,1988-01-01,2,9,1988,9,1,0.06242289666,"o","O","O","o",""
"25",24,114553438,"5FrPjxy7XC0PxRNZ80KEGO","Mike Berry","My Little Baby",4,2007-08-07,1,2,2007,11,0,0.05280357307,"o","O","O","o",""
"26",25,45138126,"4xls23Ye9WR9yy3yYMpAMm","Little Richard","Good Golly, Miss Molly - Re-Recording",7,1972-01-01,2723,15,1972,8,6,0.04521297103,"o","O","O","o",""
"27",26,51897534,"61WkWysVptnRkmDLDIoBpX","Wells Cathedral Choir","Glorious and Powerful God",6,1999-01-26,8,1,1999,10,4,0.03853138707,"o","O","O","o",""
"28",27,74451241,"0zbLpvIUDUrL38EvTJI2GQ","David Vrong","Breaking Out (Dub Mix)",8,2014-09-02,2,22,2014,12,1,0.03247203012,"o","O","O","o",""
"29",28,6629722,"2BLpGstUHxDc6vHfBEiaXm","The Move","Wave Your Flag and Stop the Train",1,1968-03-01,48,0,1968,7,5,0.03172213174,"o","O","O","o",""
"30",29,111234596,"3LCO8DQ7qaWQKxrAUjo6q0","Yvette Giraud","L'air de Paris",0,1958-01-01,3,24,1958,6,2,0.03168232488,"Andrew","X","X","x",""
"31",30,126273707,"5wv4kmwCWPMh6HAGb4LvA5","Xzevious","Grump It",5,2017-02-08,4,22,2017,12,3,0.03143658279,"o","O","O","o","O"
"32",31,99567684,"4Ws2otunReOa6BbwxxpCt6","Benny Benassi","Make Me Feel Feat. Dhany",6,1900-01-01,9767,7,1900,1,6,0.03149297722,"o","O","O","o","O"
"33",32,102339234,"2hq4gdeoQvrHO2mNudVRJc","The Casa Loma Orchestra","Boogie Woogie Man",6,1933-01-01,1,10,1933,4,0,0.03163697108,"o","O","O","o","O"
"34",33,1632500,"2c0qomdZabcCyqTZ5M9msd","The Donnas","We Don't Go",3,2020-01-06,413,8,2020,13,6,0.03110257014,"x","X","O","?","A"
"35",34,35094579,"1av0z8791CVGoez8HKlkV2","Booty Style","Bad Romance (Karaoke Instrumental Dubstep Extended) [Originally Performed By Lady Gaga]",4,2013-11-20,7,14,2013,12,4,0.03077068297,"o","O","O","o","O"
"36",35,16843548,"2C3gpQ0UMPjrOQ4FYdylRS","Unsane","Ha Ha Ha",8,2012-03-20,26,4,2012,12,5,0.030796222,"o","O","O","o","O"
"37",36,106839634,"6vLHU5afuFX3J9U3U4NX6S","Girl Authority","Hollaback Girl",1,2006-04-24,4,11,2006,11,3,0.03085780794,"o","O","O","o","O"
"38",37,134245346,"0Te1NusV6mkAMJ1VAkzJiX","Kate Smith","Don't fence me in",6,1942-01-01,268,23,1942,5,6,0.03068309294,"o","O","O","o","O"
"39",38,5635960,"3NhBwiq1BSgJg7HMJPlwVT","The Cassandra Complex","Power",6,1988-07-25,1,20,1988,9,0,0.03053629718,"o","O","O","o","O"
"40",39,142836663,"3AgnR2OejkI9ult4NaETm0","Sayed Balaha","Bs Bs Ya Amar",5,1996-01-01,2,13,1996,10,1,0.02997387149,"x","O","O","o","O"
"41",40,152156857,"7htyUKqAPLpbTA9nkEhGRf","Barbara Dane","Girl of Constant Sorrow",6,1899-12-31,31,6,1899,0,5,0.02927365828,"o","O","O","o","O"
"42",41,84371480,"5he5w2lnU9x7JFhnwcekXX","Skrillex","Doompy Poomp",2,2014-03-17,29260,17,2014,12,6,0.02867329227,"x","X","X","?","X"
"43",42,46337905,"7pnTcXIBhzFpebbRjCZmwb","Bonnie Bramlett","You've Really Got a Hold On Me",7,1976-01-01,10,12,1976,8,4,0.02789692617,"o","O","O","o","O"
"44",43,828136,"5Mx9fW3bzVpRlNYjCiPwCM","Big Dumb Face","Fightin' Stance",1,2001-01-01,3,3,2001,11,2,0.02737947384,"o","O","O","o","O"
"45",44,64471701,"7IFehwNMIwBSIf40iX0gm9","Carroll Gibbons","All By Yourself in the Moonlight",0,1929-01-01,2,10,1929,3,1,0.02666020071,"x","X","X","x","X"
"46",45,80988232,"6aewGwsqlu1cmev2xBJoht","Johnny Alf","Slightly Out Of Tune (Desafinado)",6,1965-01-01,4,19,1965,7,3,0.02600130429,"o","O","O","o","O"
"47",46,76983686,"5UXG0dpyNiryyBZ4VOIp1M","Don Lang","Witch Doctor",3,1958-01-01,9,15,1958,6,4,0.02565068662,"o","O","O","o","O"
"48",47,148763951,"2uKlOWltMsAxTHTsh4UHJY","♥ GOJII ♥","Sugarrush Xtreme",4,2018-01-19,1,18,2018,12,0,0.02501748321,"o","O","?","o","O"
"49",48,139654441,"0u9LVG0Xe9CiSzn9T4Dckc","Ocg","Why Man Cheat",2,2020-06-19,5,2,2020,13,3,0.02438376386,"o","X","x","?","X"
"50",49,55441816,"7pCOBGAHdwT3mOXoUx4aqJ","FSU Marching Chiefs","FSU War Chant",8,2009-09-08,22,22,2009,11,5,0.02350799189,"?","X","x","x","X"
"51",50,2107983,"29XRajgDeqJjse5M0qLARd","Bluekilla","Desperate",6,1999-01-01,3,21,1999,10,2,0.02278914873,"o","O","O","o","O"
"52",51,57005772,"4OWTlYl5kkhaZEsyjUhouC","Isham Jones","Who's Sorry Now",6,1930-01-01,12,5,1930,4,4,0.02232368336,"o","O","O","o","O"
"53",52,2565059,"3VJakY5Yw5phAOF4Bada5v","Quarterflash","Come To Me",5,1985-01-01,478,0,1985,9,6,0.02174588806,"x","X","?","x","M"
"54",53,98114160,"2hYpValf1CqAXARpTMhDqd","Marcus Visionary","Nightfall (feat. Johnny Osbourne)",7,2010-05-02,2,1,2010,12,1,0.02145232046,"o","O","O","o","O"
"55",54,49562778,"5Bon87lXmvJbIccjTTp1qQ","Bon Scott With Fraternity","Seasons of Change",6,2007-09-04,1,9,2007,11,0,0.02137668335,"o","o","O","o","O"
"56",55,19226344,"7mlge4peaoNgzTsY6M32RB","Marianne Faithfull","Why'd Ya Do It? (12"""" remix)",1,1979-11-02,236,24,1979,8,6,0.02138938784,"o","o","O","o","O"
"57",56,152156863,"7htyUKqAPLpbTA9nkEhGRf","Barbara Dane","Greensleeves",6,1899-12-31,31,6,1899,0,5,0.02145857304,"o","o","O","o","O"
"58",57,136884961,"2pSdM9eI6JmM0pc96aBCdN","Lumino","Yole",0,2017-09-15,3,14,2017,12,2,0.02147885481,"o","x","x","x","X"
"59",58,1632495,"2c0qomdZabcCyqTZ5M9msd","The Donnas","Teenage Runaway",4,2020-01-06,413,8,2020,13,6,0.02133724559,"o","x","?","x","X"
"60",59,1027136,"4xhhi5wPHqN5vcYhUq1Jim","16Volt","Breed",3,1996-01-01,27,4,1996,10,5,0.02140621352,"o","o","O","o","O"
"61",60,17326775,"4DToQR3aKrHQSSRzSz8Nzt","The Hives","Come On!",2,2012-06-05,1634,22,2012,12,6,0.02166717133,"x","x","?","x","X"
"62",61,2323034,"4QX7FJ2VVb13smTJcUvAqc","Gotcha!","Stronger Than Ajax, Save Da Day",5,2007-06-05,6,11,2007,11,3,0.02178669854,"x","o","X","o","x"
"63",62,152997654,"1YpkpllQrpNvPoQDtN9jLc","George Burns","The Sun Shines On My Street",6,1969-01-01,1,16,1969,7,0,0.02165812263,"x","x","X","o","M"
"64",63,134245351,"0Te1NusV6mkAMJ1VAkzJiX","Kate Smith","River stay 'way from my door",7,1942-01-01,268,23,1942,5,6,0.02169144267,"o","?","?","?","X"
"65",64,59403627,"1qFudXdxdzmnL7ceWDUKCa","Ultraviolet Sound","Girl Talk",8,2011-04-12,27,20,2011,12,5,0.02154938841,"o","o","O","o","o"
"66",65,113169861,"5ESCXMgwxKX2fFhjT3apux","Dolly Lyon","Palm of Your Hand",6,1957-01-01,2,12,1957,6,1,0.02140358412,"o","o","O","o","o"
"67",66,56800868,"2QAX1NsHShxdn1PQZuhYc5","Bill Henderson","This Little Girl of Mine",1,1900-01-29,6,10,1900,1,3,0.02118733432,"o","o","O","o","o"
"68",67,34373547,"0JCc6x48WkGlDve4f5ZBZj","Sol Invictus","Angels Fall",6,1988-07-11,3,13,1988,9,2,0.02113896928,"o","o","O","o","o"
"69",68,3671199,"6vaOhAqj04aqHv9yhIvBVU","Moosebutter","Jell-O",0,2002-11-05,13,3,2002,11,4,0.02115064606,"o","x","?","?","X"
"70",69,210971961,"5IRiBpTO8LDFHarNWYVkdn","DJ Dark","Paradise (Extended Mix)",6,2021-04-07,1,7,2021,13,0,0.02126002315,"o","o","O","o","o"
"71",70,163661563,"6oYvpkS6pM9ts4nbXRaINg","Vinida","4U",3,2018-12-28,2,17,2018,12,1,0.02132043873,"o","x","X","x","X"
"72",71,57005722,"4OWTlYl5kkhaZEsyjUhouC","Isham Jones","My Silent Love",6,1930-01-01,12,5,1930,4,4,0.02143439289,"o","o","?","o","A"
"73",72,93918535,"10AzTrYMPVVmpKoBP5bX9W","Sumo","El Reggae De Paz Y Amor",4,1991-07-13,29,0,1991,10,5,0.02137604576,"o","o","O","x","O"
"74",73,49652179,"0EOkMBYWbDnVqwfHA4zq32","John Cooper Clarke","Strange Bedfellows",1,1978-01-01,72,22,1978,8,6,0.02129934683,"o","o","O","o","o"
"75",74,188693345,"5Xi3NfsVBIEbaWVUfBTy39","Govana","Up Front",2,2019-11-18,1,19,2019,12,0,0.02126073138,"o","x","X","x","x"
"76",75,11100005,"7Jy4Eh9jvXD0FdKKCJ6jWf","Choppa","Choppa Style (radio edit) (mix)",5,2002-01-01,85,18,2002,11,6,0.02129846295,"o","?","O","o","A"
"77",76,17086876,"66kclsw9VzOdetIWXMUH7X","Pablo Neruda","Poema XVII",6,1969-01-07,3,2,1969,7,2,0.02125958726,"X","o","X","o","M"
"78",77,102112552,"1mZm40boQmdGKicfbNkd0r","Paul Whiteman","Without a Song",6,1928-01-01,21,10,1928,3,5,0.02122427207,"o","o","O","o","o"
"79",78,68242601,"1IONqTIhfKqR6QYjS98q9m","Metronome","Mind Switch",7,2013-09-13,6,21,2013,12,3,0.02117676726,"X","o","X","o","M"
"80",79,86451188,"2gUMs9PE8XZVQyzCDqaYmW","High School Musical Cast","I Don't Dance (Jason Nevins Remix)",8,2007-01-01,8960,24,2007,11,6,0.02106343611,"o","x","O","o","A"
"81",80,17612683,"5upXMwQ7ishuEbv4H79Sto","Chron Gen","Rocka'Bill",1,1982-09-19,10,8,1982,9,4,0.02109016851,"o","o","O","o","o"
"82",81,59543419,"2CwhAAsaeSXrHlA8naUeyV","Jodie Sands","With All My Heart (Digitally Remastered)",6,1955-01-01,1,15,1955,6,0,0.02100307695,"X","o","X","o","M"
"83",82,124205317,"0kSywmAKDzYRIXRjbcsod8","Mad CJ Mac","Come and Take a Ride",5,1995-05-23,2,14,1995,10,1,0.02101176166,"o","o","O","o","o"
"84",83,195065492,"7yNRNJLaYfFD1EINyJiYap","Kasger","Runnit",0,2020-03-27,132,1,2020,13,6,0.02108413185,"O","x","O","x","X"
"85",84,57544795,"3BpUUAvJhkvkpYI6nQ7OUf","Carl Verheyen","I Loves You Porgy",6,1935-01-01,8,9,1935,4,4,0.0210629976,"X","o","X","o","M"
"86",85,85345213,"7oB2HtJV1OC4lrAITFO0GG","The Fresh Beat Band","Dance With Me",3,2012-10-09,50,4,2012,12,5,0.02093871651,"X","o","X","o","M"
"87",86,14469100,"0WX7MXOUx7elCFdxdgvdBU","Sorry Boys","Cancer Sign Love",8,2011-07-15,3,22,2011,12,2,0.02086583993,"O","x","O","o","A"
"88",87,5315847,"6vLHU5afuFX3J9U3U4NX6S","Girl Authority","Pon de Replay",7,2006-04-24,4,11,2006,11,3,0.02086631468,"O","o","O","o","o"
"89",88,134245359,"0Te1NusV6mkAMJ1VAkzJiX","Kate Smith","When the moon comes over the mountain",6,1942-01-01,268,23,1942,5,6,0.02085073755,"O","x","O","o","X"
"90",89,99480601,"7jvaIJuR8cBpTPjpR50gEF","Out Of Focus","Television Program",1,1972-01-01,2,0,1972,8,1,0.02081463776,"O","o","O","o","o"
"91",90,46178447,"5uC3TXF7LKZ7LNA7Ox38i5","Bob McGrath","A, B, C, D",4,1996-01-01,3,20,1996,10,2,0.02068180832,"O","x","X","x","X"
"92",91,60637252,"1YpkpllQrpNvPoQDtN9jLc","George Burns","Grizzly Bear",6,1969-01-01,1,16,1969,7,0,0.02074827548,"X","o","X","o","M"
"93",92,67809135,"5SVGhU7cTodC79weaAmjYy","Karetus","Rave On!",2,2013-07-15,28,17,2013,12,5,0.02074618283,"O","x","X","x","x"
"94",93,103553857,"089hYKSP0TVHiHHXtiDi1E","Perry Blake","Ordinary Day",0,2002-01-01,4,6,2002,11,3,0.02085735114,"O","x","O","x","X"
"95",94,200750991,"5CWsZKgxzJ2AqxtpmHWNFK","Carroll Roberson","One Day the Son Will Rise",6,2020-07-01,11,13,2020,13,4,0.02101654721,"O","o","O","o","o"
"96",95,181695848,"4X4TVZ2u82g4OyJ7u8aP1t","Hawaii94","Feel Right",3,2019-08-16,2,7,2019,12,1,0.02115584335,"O","o","O","o","o"
"97",96,7308736,"62GnBjssWSXBlKvQohT2Bk","The Chordettes","Sentimental Journey",1,1952-08-22,2750,3,1952,6,6,0.02125620751,"O","o","O","o","o"
"98",97,76169655,"7EkT3XzLIjr4nJPeQruPE3","Bea Wain","I Fall In Love With You Every Day",6,1900-01-29,3,10,1900,1,2,0.02133380147,"X","o","X","o","M"
"99",98,17614637,"1gkGpXTb29agjk1nTA8X0g","Rosie Vela","2Nd Emotion",7,1986-01-01,1,24,1986,9,0,0.02135124097,"O","o","O","o","o"
"100",99,129997203,"07RLOidpB4QSAETF8ZlR5W","Burning Hearts","In My Garden",4,2017-05-19,32,22,2017,12,5,0.02141412599,"O","x","O","o","X"
"101",100,86981001,"6Qix2PtaC8xSwi0cbepQc8","Barbara Lewis","Workin' On A Groovy Thing",5,2005-02-08,199,12,2005,11,6,0.02144266836,"O","o","O","o","o"
"102",101,178303212,"4qidy3ZjjN9oQSSAXYkOT1","Ophthalamia","Deathcrush",8,1995-01-06,1,18,1995,10,0,0.02153583192,"O","x","?","x","x"
"103",102,58693284,"207e202Dz3barZ9ij9jGpR","Bobo Shashi","Mila Milalaa Vintage Mix",2,2013-02-20,10,14,2013,12,4,0.02157906613,"O","x","X","x","x"
"104",103,203148074,"5tZudyAoWMu18RFmwdljjp","Kursaal Flyers","Little Does She Know",6,1976-09-06,2,8,1976,8,1,0.02157067167,"O","o","O","o","o"
"105",104,17516504,"21Z528XAkildnVIYKYy8gU","Zach Williams and The Reformation","Angel With a Broken Wing",6,2009-03-01,4,19,2009,11,3,0.02166388523,"O","o","O","o","o"
"106",105,51846914,"4eaGB6IFAhm0pqXElO5MJZ","The Monroe Brothers","New River Train",6,1936-01-01,3,6,1936,4,2,0.02177622145,"O","o","O","o","o"
"107",106,212958532,"65A714FqhSPjoFZeffQbTv","Lindemann","Praise Abort (Live)",1,2021-05-21,23,4,2021,13,5,0.02186386673,"O","o","O","o","o"
"108",107,2135522,"7ewJCECkpkh56w0Y4VWzSY","Los Bravos","Save Me, Save Me",0,1966-01-01,107,2,1966,7,6,0.02187313275,"X","x","X","x","x"
"109",108,90910059,"0jjWUCvltSjNlOFM6CEhFN","JP","Circus",5,2014-10-11,6,21,2014,12,3,0.02196830589,"X","o","X","o","M"
"110",109,1629358,"4OGo8f0tdKloP3IZwvnLqt","Pretty Maids","Little Darling",3,1984-05-14,13,11,1984,9,4,0.02205509975,"O","o","O","o","o"
"111",110,134245357,"0Te1NusV6mkAMJ1VAkzJiX","Kate Smith","The last time I saw Paris",6,1942-01-01,268,23,1942,5,6,0.02206983324,"O","o","O","o","o"
"112",111,2037677,"4DB98CFJZXsqw3ONzqQ8j1","Annie Haslam","The Little Drummer Boy",4,2014-11-28,1,0,2014,12,0,0.02208898016,"O","x","O","x","X"
"113",112,71041493,"55owbkMYdl0SSTlyWuPpZ2","Robert & Johnny","Dream Girl",8,2008-05-05,41,15,2008,11,5,0.02213589259,"O","x","O","x","X"
"114",113,99470365,"4VXnKuls8wfaDc8XpT6UYu","Fiorello! - Original Broadway Cast","Politics And Poker",1,1959-01-01,2,5,1959,6,1,0.02214572999,"O","x","O","?","X"
"115",114,1261561,"41vTbWnX2HzE7adssEER9I","Alpha Team","Speed (Radio Edit)",7,1993-06-27,6,20,1993,10,3,0.02217274817,"O","o","O","x","O"
"116",115,41571963,"3akUqAy3Q1WqRZqceC4jW9","London Festival Orchestra","Messiah, Oratorio, Hwv 56: Hallelujah Chorus",2,2015-11-19,295,1,2015,12,6,0.02217457037,"O","o","O","o","o"
"117",116,51113095,"6Y3ByR0evBqzxTHPkM2tX5","Missouri","Mov'in On",6,1979-05-10,12,22,1979,8,4,0.02219982446,"O","o","O","o","o"
"118",117,76169642,"7EkT3XzLIjr4nJPeQruPE3","Bea Wain","I've Got My Heart Set On You",6,1900-01-29,3,10,1900,1,2,0.02226395637,"O","o","O","o","o"
"119",118,109965166,"5QeMeXEjenaQZAqWn9uAAK","Alabaster Box","It Is Well",0,2006-07-07,1,13,2006,11,0,0.02236435419,"O","x","O","x","X"
"120",119,84279791,"6UZvJbrEJxkycbgUznMIF9","Behmer","Det Drar",5,2015-05-16,19,9,2015,12,5,0.02246810243,"X","x","X","x","x"
"121",120,194171766,"4MUb8ilmrxyePXwSkG31lC","Canozan","Feels Like",6,2020-03-20,2,16,2020,13,1,0.02254869982,"O","o","O","o","o"
"122",121,18271679,"55APUUV6bCtJVEF1O2jKNT","Shelby Flint","House of the Rising Sun",1,1963-01-01,143,24,1963,7,6,0.02265487885,"O","o","O","o","o"
"123",122,58470789,"3dhp237FzJOf7He1DgPt8R","Glee Club Singers","Bad Romance (Made Famous by the cast of Glee)",3,2010-11-01,11,7,2010,12,4,0.02282060442,"O","o","O","o","o"
"124",123,4194332,"2YebmGg4R8ZPxnjaixPrYG","Наив","I Feel I'm Stoned",7,1994-10-10,1,8,1994,10,0,0.0229411655,"O","o","O","o","o"
"125",124,18167326,"7FAkzV0YOw0EIXFhmY4RE3","Jermaine Stewart","In Love Again",4,1984-01-01,434,17,1984,9,6,0.02299832488,"O","o","O","o","o"
"126",125,84351638,"587JnFfQGfMBcDeAIR5MG3","Alfareros","Nothing Without You",6,2001-11-16,4,22,2001,11,3,0.02306511378,"O","o","O","o","o"
"127",126,77891076,"4oXaAEofJFedGweFqy5qiv","The Ames Brothers","Melodie d'Amour (Melody of Love) (Remastered)",6,1956-01-01,39,3,1956,6,5,0.02312902242,"O","o","O","o","o"
"128",127,179755765,"3dnNuI5EU8TEdiAT73kj27","JessB","Mood",8,2019-08-09,3,14,2019,12,2,0.02314052499,"O","x","X","x","x"
"129",128,82816346,"2MEkxZU1LDgX6Sw5Rewpto","Tommy Tate","For the Dollar Bill",2,2017-03-17,5,12,2017,12,3,0.02327573613,"X","x","X","x","x"
"130",129,30401956,"5cIxvxm5XW4Up5aSl5zrL6","Burning Skies","Y.G.F.F.",6,2008-03-24,2,4,2008,11,1,0.02337816062,"O","o","O","o","o"
"131",130,109598935,"6KhH771vq2X2Aom91nNzpZ","FTISLAND","PUPPY",5,2020-09-15,114,0,2020,13,6,0.02347995886,"O","x","X","x","x"
"132",131,111304309,"65gGZ8AfbxuEGx62bd8WVP","Carrie Smith","Mama, He Treats Your Daughter Mean",1,1977-01-01,1,18,1977,8,0,0.02358242967,"O","o","O","o","o"
"133",132,134245353,"0Te1NusV6mkAMJ1VAkzJiX","Kate Smith","Seems like old times",6,1942-01-01,268,23,1942,5,6,0.02366749682,"O","o","O","o","o"
"134",133,32800026,"7DCHj51jkx28ABRyrKzmul","Lisa Lynne","Fair Wind",0,1999-05-17,36,11,1999,10,5,0.02373756248,"X","x","X","x","x"
"135",134,57241602,"0PfphN9qB6zSGGP38VjDm7","Deborahe Glasgow","Champion Lover",7,1989-01-01,9,19,1989,9,4,0.02384321705,"X","x","X","?","x"
"136",135,7946252,"3BMY6ky9aPrsHpy7Hm54Qo","Sharon Little","Ooh Wee",3,2008-05-27,3,6,2008,11,2,0.02391601551,"O","o","O","o","o"
"137",136,108107289,"3KYS4PvSJ1Cn5py5d9sWtZ","Chris Kaeser","Who'S In The House - Original Edit",4,2013-12-30,15,20,2013,12,5,0.02401249033,"O","?","?","x","X"
"138",137,64185077,"2vnmWPg9yLXtO3u9P8SBmA","The Uniques","Not Too Long Ago",6,1966-12-13,2,21,1966,7,1,0.02407363483,"O","?","O","o","A"
"139",138,83511139,"4XaUmUGjidSklcDHxv3XWf","MS MR","All The Things Lost",8,2015-07-24,5279,22,2015,12,6,0.02417896072,"O","o","O","o","o"
"140",139,50343962,"1mNcebzTg5QlHEY4WYhLSm","Langston Hughes","As I Grew Older / I, Too",1,1955-01-01,7,2,1955,6,4,0.02428505883,"O","x","X","x","x"
"141",140,199050935,"6hxFCFKp5AcBY9DH8ROY35","Corbin Butler","LieFreeZone",6,2020-06-25,1,24,2020,13,0,0.02441009373,"O","o","O","o","o"
"142",141,50820032,"3VrvtMPf98keYfWoBPx4OR","Tramaine Hawkins","Excellent Lord (Reprise) [Live]",2,2008-08-25,145,13,2008,11,6,0.0245379103,"O","o","O","o","o"
"143",142,82020498,"5quKSXToBLb4dSOAgbbFKI","Toy Boy Smitty","Only Luv Me",5,2015-08-21,6,15,2015,12,3,0.02465076178,"O","o","O","o","o"
"144",143,9474028,"4s3NQxHZqjWX54ZeEwjzkR","The Macc Lads","Fat Bastard",6,1999-01-01,3,8,1999,10,2,0.02477048918,"O","o","O","o","o"
"145",144,55179313,"4w6rQyebwaBZqbeNaDA6V2","Stella Parton","I Want to Hold You In My Dreams Tonight",6,1975-01-01,1,16,1975,8,0,0.02492609658,"O","o","O","o","o"
"146",145,60392809,"44DhN2c5l4St4Nt4dliAXT","Musical Mania","Oh Happy Day",0,2011-07-03,27,5,2011,12,5,0.02505075426,"O","o","O","o","o"
"147",146,92235366,"5DwnuWucotBgWQupnTwwW9","James Hardway","The Biltmore Piano.",6,2006-11-07,2,1,2006,11,1,0.02518785081,"X","o","X","o","M"
"148",147,93296295,"5EHIAjswCIVGZ26rTS8fbp","The Rock Of Ages Movie Band","Undercover Love",3,2012-06-15,11,0,2012,12,4,0.0253547668,"O","o","O","o","o"
"149",148,3352568,"2ZbWlThDW0qSbI3hinpl0w","MC Lyte","I Am a Woman",7,1988-01-01,671,14,1988,9,6,0.0254794453,"O","o","O","o","o"
"150",149,79219366,"5o8E07TcYqIefZpDejymAd","The Pied Pipers","I Got the Sun in the Mornin' (And the Moon at Night)",6,1946-01-01,40,10,1946,5,5,0.02560163085,"O","o","O","o","o"
"151",150,193273536,"6t41YgqHULlgOq9TK1kcrG","The Kiffness","Wiggle a Bit (feat. Nathan Ro)",1,2020-02-28,4,7,2020,13,3,0.02570235472,"O","o","O","o","o"
"152",151,5434805,"597yzFFRvWnxCtDInHwciZ","Chad VanGaalen","Flower Gardens",4,2006-08-22,406,22,2006,11,6,0.02581957064,"O","?","O","o","O"
"153",152,115765914,"5f8Rx5oo9KEkjssSsBsvfh","Scotty Moore","My Baby Left Me",6,1964-01-01,1,9,1964,7,0,0.02589836982,"X","o","X","o","M"
"154",153,2860796,"11wlHSvQVZGIJ5D1sTsihZ","Fun People","Tita",0,1999-04-13,3,4,1999,10,2,0.02598237702,"O","x","X","x","x"
"155",154,125480482,"3JNSp1U3yXBB3S0SiKsYS7","Data Wave","Shaking Down",8,2017-01-20,5,17,2017,12,3,0.02602674565,"O","x","?","x","x"
