"","participant_ID","item_ID","ACHIEVEMENT","BENEVOLENCE","CONFORMITY","HEDONISM","POWER","SECURITY","SELF","STIMULATION","TRADITION","UNIVERSALISM"
"58","55a47692fdf99b126e625257","99526020",0,0,0,100,0,0,71,0,0,0
"59","55a47692fdf99b126e625257","99567690",0,24,0,100,0,0,17,23,0,0
"60","55a47692fdf99b126e625257","99962781",18,28,33,0,0,66,0,0,70,0
"61","55b237e6fdf99b19ea79d2f7","134245347",-100,67,-31,-100,-91,34,-100,-100,77,66
"62","55b237e6fdf99b19ea79d2f7","149782763",-100,-34,-99,-100,-100,9,-72,-100,-5,-78
"63","55b237e6fdf99b19ea79d2f7","151085454",-100,-100,-100,-8,-100,-99,-71,29,-100,-100
"64","55b237e6fdf99b19ea79d2f7","152156851",-100,-100,-100,65,-97,-98,-57,18,-100,-100
"65","55b237e6fdf99b19ea79d2f7","16074172",-100,-100,-100,-99,0,-100,-75,-48,-100,-100
"66","55b237e6fdf99b19ea79d2f7","17997657",-100,-100,-99,23,-100,-100,-100,-92,-29,-100
"67","55b237e6fdf99b19ea79d2f7","204336669",-40,-100,-100,-9,-28,-100,-98,-23,-100,-100
"68","55b237e6fdf99b19ea79d2f7","205113268",40,-100,-100,57,-89,-99,73,-15,-100,-100
"69","55b237e6fdf99b19ea79d2f7","2241308",27,-100,-100,21,22,-99,28,-10,-100,-100
"70","55b237e6fdf99b19ea79d2f7","34952275",-15,-100,-99,-55,-98,-100,10,7,-100,-99
"71","55b237e6fdf99b19ea79d2f7","4116102",-80,-15,-100,-41,-99,-100,-52,-85,16,-100
"72","55b237e6fdf99b19ea79d2f7","55713838",-7,-30,48,-100,-88,-89,-38,10,47,-100
"73","55b237e6fdf99b19ea79d2f7","57005765",-100,-68,-100,-44,-100,-100,15,-72,-100,-100
"74","55b237e6fdf99b19ea79d2f7","61210999",-100,-19,52,-100,45,-100,-100,-100,-23,-100
"75","55b237e6fdf99b19ea79d2f7","80257632",-51,-10,-100,-88,-93,-100,47,-90,-52,-99
"76","55b237e6fdf99b19ea79d2f7","9223300",-100,-59,-100,-13,-100,-32,-31,-42,-76,-100
"77","55b237e6fdf99b19ea79d2f7","97622225",-44,-99,-98,-74,-100,-43,-24,-66,-98,28
"78","55b237e6fdf99b19ea79d2f7","99526020",-100,-100,-100,41,-100,-100,-9,27,-100,-100
"79","55b237e6fdf99b19ea79d2f7","99567690",-100,-8,-100,15,-98,-17,-24,-22,-100,-100
"80","55b237e6fdf99b19ea79d2f7","99962781",-54,79,80,-100,-100,-35,68,-100,85,-65
"81","55b6e53bfdf99b438f10e3bb","134245347",96,97,97,99,95,97,98,98,97,97
"82","55b6e53bfdf99b438f10e3bb","149782763",36,36,39,30,22,50,34,42,48,43
"83","55b6e53bfdf99b438f10e3bb","151085454",13,27,15,24,7,16,10,17,8,18
"84","55b6e53bfdf99b438f10e3bb","152156851",50,48,62,27,19,71,67,40,82,32
"85","55b6e53bfdf99b438f10e3bb","16074172",44,36,23,31,20,44,31,42,32,39
"86","55b6e53bfdf99b438f10e3bb","17997657",22,17,23,20,23,21,18,20,16,21
"87","55b6e53bfdf99b438f10e3bb","204336669",21,21,19,40,23,22,-9,14,-9,20
"88","55b6e53bfdf99b438f10e3bb","205113268",26,28,19,39,34,28,35,21,27,35
"89","55b6e53bfdf99b438f10e3bb","2241308",92,92,98,92,92,95,94,94,89,93
"90","55b6e53bfdf99b438f10e3bb","34952275",32,36,39,34,43,39,35,28,33,37
"91","55b6e53bfdf99b438f10e3bb","4116102",34,42,25,32,26,41,35,25,30,30
"92","55b6e53bfdf99b438f10e3bb","55713838",30,37,28,34,3,30,37,23,26,23
"93","55b6e53bfdf99b438f10e3bb","57005765",37,45,45,35,26,36,55,22,32,36
"94","55b6e53bfdf99b438f10e3bb","61210999",24,27,15,21,10,18,13,-5,19,17
"95","55b6e53bfdf99b438f10e3bb","80257632",20,39,32,50,33,21,46,32,36,31
"96","55b6e53bfdf99b438f10e3bb","9223300",-17,12,-14,10,-7,9,-15,-9,-10,5
"97","55b6e53bfdf99b438f10e3bb","97622225",66,41,85,32,41,58,43,52,54,55
"98","55b6e53bfdf99b438f10e3bb","99526020",13,39,38,54,38,31,23,31,29,19
"99","55b6e53bfdf99b438f10e3bb","99567690",54,49,49,41,32,32,39,49,32,59
"100","55b6e53bfdf99b438f10e3bb","99962781",63,66,56,34,50,53,59,72,25,48
"101","55b9a9b0fdf99b6906d2aba4","134245347",0,0,84,0,0,81,81,0,92,74
"102","55b9a9b0fdf99b6906d2aba4","149782763",0,71,0,0,0,59,0,0,0,0
"103","55b9a9b0fdf99b6906d2aba4","151085454",0,0,0,0,0,81,0,0,0,0
"104","55b9a9b0fdf99b6906d2aba4","152156851",0,34,-35,88,0,0,0,65,0,0
"105","55b9a9b0fdf99b6906d2aba4","16074172",36,0,-51,53,43,0,54,50,-47,0
"106","55b9a9b0fdf99b6906d2aba4","17997657",0,0,0,78,0,0,0,51,0,0
"107","55b9a9b0fdf99b6906d2aba4","204336669",92,-94,-93,100,93,-88,100,100,-95,-93
"108","55b9a9b0fdf99b6906d2aba4","205113268",0,0,0,95,0,0,59,0,0,0
"109","55b9a9b0fdf99b6906d2aba4","2241308",0,0,-66,45,68,66,84,34,-48,0
"110","55b9a9b0fdf99b6906d2aba4","34952275",0,78,0,0,0,50,0,0,0,77
"111","55b9a9b0fdf99b6906d2aba4","4116102",0,54,71,0,35,71,0,0,59,61
"112","55b9a9b0fdf99b6906d2aba4","55713838",41,0,0,31,0,0,28,45,0,0
"113","55b9a9b0fdf99b6906d2aba4","57005765",0,0,0,83,0,0,45,81,0,0
"114","55b9a9b0fdf99b6906d2aba4","61210999",0,43,-31,0,63,88,68,0,0,0
"115","55b9a9b0fdf99b6906d2aba4","80257632",0,0,-81,91,0,-76,0,0,0,0
"116","55b9a9b0fdf99b6906d2aba4","9223300",0,66,0,77,0,0,0,0,0,0
"117","55b9a9b0fdf99b6906d2aba4","97622225",0,21,0,74,0,0,40,75,0,25
"118","55b9a9b0fdf99b6906d2aba4","99526020",0,0,0,68,0,0,0,71,0,0
"119","55b9a9b0fdf99b6906d2aba4","99567690",0,0,0,54,0,0,0,0,0,0
"120","55b9a9b0fdf99b6906d2aba4","99962781",0,0,86,0,0,0,0,0,83,0
"121","55bb74f1fdf99b1519ef4762","134245347",64,79,46,-49,1,65,73,48,91,58
"122","55bb74f1fdf99b1519ef4762","149782763",0,0,32,56,0,62,41,66,-23,0
"123","55bb74f1fdf99b1519ef4762","151085454",33,29,-22,59,-26,42,67,50,-21,53
"124","55bb74f1fdf99b1519ef4762","152156851",24,-61,-61,61,-61,30,27,75,-47,-42
"125","55bb74f1fdf99b1519ef4762","16074172",14,38,-66,79,42,0,36,87,0,54
"126","55bb74f1fdf99b1519ef4762","17997657",45,-34,-48,70,-40,25,-37,63,-55,-56
"127","55bb74f1fdf99b1519ef4762","204336669",63,-45,-67,85,47,28,57,79,-73,77
"128","55bb74f1fdf99b1519ef4762","205113268",55,50,-30,37,36,25,68,54,31,58
"129","55bb74f1fdf99b1519ef4762","2241308",79,-33,55,35,59,41,61,43,-52,0
"130","55bb74f1fdf99b1519ef4762","34952275",84,43,0,79,61,60,-52,81,58,74
"131","55bb74f1fdf99b1519ef4762","4116102",-29,74,40,-76,-43,31,34,-17,63,65
"132","55bb74f1fdf99b1519ef4762","55713838",60,30,-23,-70,19,34,53,34,31,-37
"133","55bb74f1fdf99b1519ef4762","57005765",-52,66,55,26,-46,43,37,57,47,55
"134","55bb74f1fdf99b1519ef4762","61210999",33,67,-30,-57,-77,46,0,55,38,0
"135","55bb74f1fdf99b1519ef4762","80257632",-72,-66,-47,60,-83,34,-35,83,-73,-59
"136","55bb74f1fdf99b1519ef4762","9223300",21,-25,-53,52,-46,49,44,62,-37,-39
"137","55bb74f1fdf99b1519ef4762","97622225",51,65,-48,-50,-55,-61,69,59,-33,56
"138","55bb74f1fdf99b1519ef4762","99526020",16,0,-54,79,-37,0,55,76,-65,-35
"139","55bb74f1fdf99b1519ef4762","99567690",24,53,49,-33,0,63,47,39,65,60
"140","55bb74f1fdf99b1519ef4762","99962781",-49,66,47,-74,-62,52,20,-18,71,49
"141","5658000ca9872d0011e1ba26","134245347",60,0,85,-90,75,85,90,0,85,0
"142","5658000ca9872d0011e1ba26","149782763",0,90,90,0,0,80,0,0,90,0
"143","5658000ca9872d0011e1ba26","151085454",0,0,0,-40,0,0,0,-85,0,0
"144","5658000ca9872d0011e1ba26","152156851",-20,0,-90,60,0,-25,30,35,-80,0
"145","5658000ca9872d0011e1ba26","16074172",90,0,0,0,0,0,0,40,0,0
"146","5658000ca9872d0011e1ba26","17997657",0,0,0,55,0,0,0,35,60,0
"147","5658000ca9872d0011e1ba26","204336669",80,0,0,95,40,0,0,75,-75,0
"148","5658000ca9872d0011e1ba26","205113268",90,0,0,85,25,0,75,50,0,0
"149","5658000ca9872d0011e1ba26","2241308",56,0,-35,0,50,0,95,85,0,0
"150","5658000ca9872d0011e1ba26","34952275",70,0,0,0,0,0,60,55,0,0
"151","5658000ca9872d0011e1ba26","4116102",0,40,100,-95,0,100,0,0,100,-40
"152","5658000ca9872d0011e1ba26","55713838",0,35,0,0,0,0,0,0,0,0
"153","5658000ca9872d0011e1ba26","57005765",0,75,0,40,0,0,0,0,0,0
"154","5658000ca9872d0011e1ba26","61210999",0,0,-85,0,-60,0,0,0,-40,50
"155","5658000ca9872d0011e1ba26","80257632",0,70,0,0,0,0,65,0,0,0
"156","5658000ca9872d0011e1ba26","9223300",0,0,0,40,0,0,0,20,0,0
"157","5658000ca9872d0011e1ba26","97622225",0,70,0,0,0,0,35,20,0,75
"158","5658000ca9872d0011e1ba26","99526020",0,0,-40,95,0,0,0,70,-40,0
"159","5658000ca9872d0011e1ba26","99567690",0,0,0,70,0,0,30,66,0,20
"160","5658000ca9872d0011e1ba26","99962781",0,35,100,-50,0,98,0,0,100,-50
"161","565a4547c51d43000587507d","134245347",0,20,0,0,0,8,18,0,10,19
"162","565a4547c51d43000587507d","149782763",0,8,7,0,0,31,0,0,8,14
"163","565a4547c51d43000587507d","151085454",0,0,0,0,0,8,7,30,0,0
"164","565a4547c51d43000587507d","152156851",0,5,0,19,0,0,6,26,5,0
"165","565a4547c51d43000587507d","16074172",41,0,-7,0,40,0,47,25,0,0
"166","565a4547c51d43000587507d","17997657",0,0,0,34,0,0,0,0,0,0
"167","565a4547c51d43000587507d","204336669",-13,0,-12,43,-12,0,40,39,-28,0
"168","565a4547c51d43000587507d","205113268",33,0,0,8,0,0,51,34,0,6
"169","565a4547c51d43000587507d","2241308",0,0,5,0,0,15,39,14,0,0
"170","565a4547c51d43000587507d","34952275",0,50,10,0,0,6,0,0,18,63
"171","565a4547c51d43000587507d","4116102",0,8,0,0,0,8,0,0,6,8
"172","565a4547c51d43000587507d","55713838",0,0,5,0,7,0,6,7,8,0
"173","565a4547c51d43000587507d","57005765",0,0,0,7,0,0,0,0,0,0
"174","565a4547c51d43000587507d","61210999",0,4,-10,0,-10,9,8,9,0,0
"175","565a4547c51d43000587507d","80257632",0,0,-10,0,0,0,6,5,-12,0
"176","565a4547c51d43000587507d","9223300",0,3,0,15,0,9,6,9,0,7
"177","565a4547c51d43000587507d","97622225",8,0,0,0,0,12,13,6,0,34
"178","565a4547c51d43000587507d","99526020",0,0,0,47,0,0,8,40,0,0
"179","565a4547c51d43000587507d","99567690",0,0,0,22,0,10,0,0,0,0
"180","565a4547c51d43000587507d","99962781",0,64,30,0,-8,47,0,0,35,62
"181","56e5b167b2093a000b4f1345","134245347",32,47,37,-23,20,68,0,0,70,61
"182","56e5b167b2093a000b4f1345","149782763",0,55,30,-55,0,24,-55,-45,48,0
"183","56e5b167b2093a000b4f1345","151085454",-16,0,0,-12,0,0,27,-21,0,0
"184","56e5b167b2093a000b4f1345","152156851",27,-24,-30,63,29,0,76,57,-23,0
"185","56e5b167b2093a000b4f1345","16074172",55,0,0,0,25,0,63,55,0,0
"186","56e5b167b2093a000b4f1345","17997657",0,0,45,51,0,18,0,0,36,0
"187","56e5b167b2093a000b4f1345","204336669",41,0,0,92,32,0,54,73,0,0
"188","56e5b167b2093a000b4f1345","205113268",72,-34,-46,52,28,0,62,47,-34,13
"189","56e5b167b2093a000b4f1345","2241308",61,-28,-64,29,63,-97,92,78,-84,0
"190","56e5b167b2093a000b4f1345","34952275",73,-39,-46,52,39,0,83,66,0,42
"191","56e5b167b2093a000b4f1345","4116102",-15,32,35,17,-21,0,-17,11,42,10
"192","56e5b167b2093a000b4f1345","55713838",86,16,63,-63,34,29,36,15,54,0
"193","56e5b167b2093a000b4f1345","57005765",41,32,-46,59,-20,0,50,77,-44,23
"194","56e5b167b2093a000b4f1345","61210999",57,-22,-62,55,52,-47,69,40,-66,0
"195","56e5b167b2093a000b4f1345","80257632",47,0,0,34,-27,0,57,42,0,0
"196","56e5b167b2093a000b4f1345","9223300",0,35,0,39,0,0,32,-33,0,0
"197","56e5b167b2093a000b4f1345","97622225",-40,0,19,15,-73,15,0,-18,17,39
"198","56e5b167b2093a000b4f1345","99526020",57,0,-24,76,37,0,67,75,-18,52
"199","56e5b167b2093a000b4f1345","99567690",-25,35,0,67,-51,0,33,58,14,0
"200","56e5b167b2093a000b4f1345","99962781",-20,39,24,-17,-17,0,0,20,39,49
"201","570758d5374137000fbb68cd","134245347",57,53,50,28,38,73,71,28,59,34
"202","570758d5374137000fbb68cd","149782763",49,45,34,22,29,43,22,21,36,19
"203","570758d5374137000fbb68cd","151085454",32,17,-2,16,34,13,40,41,-10,25
"204","570758d5374137000fbb68cd","152156851",16,-18,-46,60,41,41,74,68,-39,20
"205","570758d5374137000fbb68cd","16074172",46,33,30,25,17,41,52,18,24,23
"206","570758d5374137000fbb68cd","17997657",22,10,28,32,9,32,25,41,32,17
"207","570758d5374137000fbb68cd","204336669",42,8,-13,43,46,-18,49,54,1,22
"208","570758d5374137000fbb68cd","205113268",43,25,-34,53,33,-8,71,63,-25,23
"209","570758d5374137000fbb68cd","2241308",39,6,-21,40,45,-19,47,46,-11,17
"210","570758d5374137000fbb68cd","34952275",37,24,30,6,22,25,52,30,34,37
"211","570758d5374137000fbb68cd","4116102",46,36,37,15,41,40,8,26,32,17
"212","570758d5374137000fbb68cd","55713838",35,40,-6,15,23,44,37,26,19,28
"213","570758d5374137000fbb68cd","57005765",41,28,7,50,26,27,46,54,23,39
"214","570758d5374137000fbb68cd","61210999",33,39,-68,37,30,-23,46,40,-60,52
"215","570758d5374137000fbb68cd","80257632",30,15,-24,37,27,-9,52,48,-14,11
"216","570758d5374137000fbb68cd","9223300",32,28,26,44,19,33,54,53,24,54
"217","570758d5374137000fbb68cd","97622225",38,32,37,21,32,45,41,28,38,32
"218","570758d5374137000fbb68cd","99526020",25,28,-23,35,16,-25,47,50,-20,35
"219","570758d5374137000fbb68cd","99567690",27,19,-20,32,19,18,49,43,11,30
"220","570758d5374137000fbb68cd","99962781",49,50,52,2,48,58,4,8,68,21
"221","57445a313fdc690010095688","134245347",0,0,100,0,0,50,0,0,0,0
"222","57445a313fdc690010095688","149782763",0,70,0,0,0,0,0,0,45,55
"223","57445a313fdc690010095688","151085454",0,0,0,0,0,0,0,0,100,45
"224","57445a313fdc690010095688","152156851",0,0,41,76,0,0,0,48,55,25
"225","57445a313fdc690010095688","16074172",50,0,0,70,81,0,60,45,0,0
"226","57445a313fdc690010095688","17997657",0,0,0,63,0,0,0,0,55,0
"227","57445a313fdc690010095688","204336669",90,0,0,95,80,0,0,61,0,0
"228","57445a313fdc690010095688","205113268",0,0,0,88,0,0,40,56,0,0
"229","57445a313fdc690010095688","2241308",0,0,0,60,0,0,0,40,0,0
"230","57445a313fdc690010095688","34952275",0,0,0,0,0,0,0,46,0,60
"231","57445a313fdc690010095688","4116102",0,0,0,60,-65,0,0,35,0,0
"232","57445a313fdc690010095688","55713838",0,0,35,0,0,0,0,30,70,0
"233","57445a313fdc690010095688","57005765",0,60,0,60,0,0,45,0,60,0
"234","57445a313fdc690010095688","61210999",0,0,0,0,75,0,0,0,0,0
"235","57445a313fdc690010095688","80257632",0,0,0,0,0,0,50,0,0,0
"236","57445a313fdc690010095688","9223300",26,0,0,73,0,0,0,46,0,0
"237","57445a313fdc690010095688","97622225",0,0,0,63,0,0,0,40,0,28
"238","57445a313fdc690010095688","99526020",0,0,0,100,0,0,40,82,0,0
"239","57445a313fdc690010095688","99567690",65,0,0,85,0,0,0,40,0,0
"240","57445a313fdc690010095688","99962781",0,35,65,0,40,0,0,0,15,0
"241","579f1d3bc9abeb0001af52d8","134245347",46,13,44,34,48,58,38,25,82,5
"242","579f1d3bc9abeb0001af52d8","149782763",0,58,5,-5,-2,72,35,-11,15,41
"243","579f1d3bc9abeb0001af52d8","151085454",-5,15,19,35,0,16,57,49,-15,57
"244","579f1d3bc9abeb0001af52d8","152156851",-3,-7,8,87,0,-1,49,65,-15,9
"245","579f1d3bc9abeb0001af52d8","16074172",26,0,-60,40,22,2,63,48,-63,12
"246","579f1d3bc9abeb0001af52d8","17997657",0,0,0,20,0,0,0,0,0,0
"247","579f1d3bc9abeb0001af52d8","204336669",67,1,-41,77,60,-10,39,59,-40,3
"248","579f1d3bc9abeb0001af52d8","205113268",10,18,-4,20,4,9,50,47,3,32
"249","579f1d3bc9abeb0001af52d8","2241308",29,-7,-15,59,20,-23,26,59,-14,0
"250","579f1d3bc9abeb0001af52d8","34952275",0,0,-24,12,0,0,69,25,0,89
"251","579f1d3bc9abeb0001af52d8","4116102",10,51,52,12,0,10,0,4,55,25
"252","579f1d3bc9abeb0001af52d8","55713838",23,21,54,18,12,47,41,35,68,3
"253","579f1d3bc9abeb0001af52d8","57005765",3,29,7,15,0,0,37,35,0,9
"254","579f1d3bc9abeb0001af52d8","61210999",0,-16,-24,27,0,-16,46,19,0,0
"255","579f1d3bc9abeb0001af52d8","80257632",0,2,0,28,0,10,19,42,0,15
"256","579f1d3bc9abeb0001af52d8","9223300",-9,7,14,25,-5,0,35,27,0,21
"257","579f1d3bc9abeb0001af52d8","97622225",-4,22,-19,5,-9,3,56,21,-16,72
"258","579f1d3bc9abeb0001af52d8","99526020",31,0,-15,65,11,6,48,66,-8,15
"259","579f1d3bc9abeb0001af52d8","99567690",0,11,7,39,0,0,8,10,0,4
"260","579f1d3bc9abeb0001af52d8","99962781",-5,34,71,-49,-5,67,-5,2,80,28
"261","57bf14513c449a000189c89a","134245347",9,14,30,-32,6,52,43,-17,40,28
"262","57bf14513c449a000189c89a","149782763",-17,50,15,-29,-10,50,-19,-54,42,44
"263","57bf14513c449a000189c89a","151085454",-39,21,-35,-17,-21,-34,23,17,-29,-20
"264","57bf14513c449a000189c89a","152156851",-63,-25,-43,14,-52,-47,18,29,-26,-18
"265","57bf14513c449a000189c89a","16074172",8,-11,-50,15,-12,-51,26,20,-55,-4
"266","57bf14513c449a000189c89a","17997657",-14,6,11,13,-8,20,-4,13,46,-21
"267","57bf14513c449a000189c89a","204336669",32,-62,-74,65,40,-92,57,61,-82,-74
"268","57bf14513c449a000189c89a","205113268",-7,33,-19,-9,-14,-40,32,23,-10,32
"269","57bf14513c449a000189c89a","2241308",25,-10,-58,14,12,-68,26,34,-49,-9
"270","57bf14513c449a000189c89a","34952275",2,10,10,-1,1,7,11,0,6,17
"271","57bf14513c449a000189c89a","4116102",-8,16,8,-30,-10,14,-12,-18,19,18
"272","57bf14513c449a000189c89a","55713838",-20,11,13,-16,-13,-14,-17,-19,11,-26
"273","57bf14513c449a000189c89a","57005765",23,17,19,14,11,13,57,13,9,27
"274","57bf14513c449a000189c89a","61210999",-14,-12,-15,17,-10,-38,37,27,-29,10
"275","57bf14513c449a000189c89a","80257632",14,-17,-21,-18,15,-42,24,20,-37,-9
"276","57bf14513c449a000189c89a","9223300",-14,20,-39,13,-8,-43,34,23,11,-20
"277","57bf14513c449a000189c89a","97622225",-10,10,-52,-8,-8,-56,15,9,-56,10
"278","57bf14513c449a000189c89a","99526020",51,-18,-78,65,51,-53,78,82,-68,-14
"279","57bf14513c449a000189c89a","99567690",12,-11,-24,30,11,17,10,14,-16,-8
"280","57bf14513c449a000189c89a","99962781",-19,15,14,-30,-9,21,-27,-27,37,19
"281","57e7bb4e73e67300012b8e2a","134245347",-64,91,95,-72,-97,98,-74,-90,100,26
"282","57e7bb4e73e67300012b8e2a","149782763",-94,-41,-22,49,-95,-59,-52,-85,23,-31
"283","57e7bb4e73e67300012b8e2a","151085454",-40,2,-34,-72,19,-52,-21,54,-55,-21
"284","57e7bb4e73e67300012b8e2a","152156851",-49,-9,-23,99,-12,-15,16,60,-26,-54
"285","57e7bb4e73e67300012b8e2a","16074172",51,-33,-56,-10,14,-41,47,39,-55,-16
"286","57e7bb4e73e67300012b8e2a","17997657",-89,-32,55,73,-92,-8,-32,-74,91,-22
"287","57e7bb4e73e67300012b8e2a","204336669",54,-89,-94,97,88,-91,68,100,-91,-56
"288","57e7bb4e73e67300012b8e2a","205113268",86,-11,-26,32,75,-17,38,46,-12,2
"289","57e7bb4e73e67300012b8e2a","2241308",27,-10,-50,14,78,-70,41,83,-49,-36
"290","57e7bb4e73e67300012b8e2a","34952275",90,-18,-65,67,-84,-60,71,93,-67,22
"291","57e7bb4e73e67300012b8e2a","4116102",-33,92,66,-46,-20,33,-48,-12,97,-5
"292","57e7bb4e73e67300012b8e2a","55713838",73,81,55,-74,-73,23,-26,-13,87,-57
"293","57e7bb4e73e67300012b8e2a","57005765",-54,49,-10,49,-61,-28,63,63,2,-33
"294","57e7bb4e73e67300012b8e2a","61210999",-87,49,-67,60,-86,-67,15,81,2,15
"295","57e7bb4e73e67300012b8e2a","80257632",-82,-10,-74,6,-87,-82,-28,16,-57,-84
"296","57e7bb4e73e67300012b8e2a","9223300",-9,29,-19,92,-85,-8,17,82,2,9
"297","57e7bb4e73e67300012b8e2a","97622225",-47,21,9,-34,-74,37,-29,-46,2,46
"298","57e7bb4e73e67300012b8e2a","99526020",22,-22,-68,100,11,-32,14,31,-31,-50
"299","57e7bb4e73e67300012b8e2a","99567690",-46,-54,-41,99,-37,-47,18,86,-65,-62
"300","57e7bb4e73e67300012b8e2a","99962781",96,99,92,-98,2,21,-61,-18,95,-14
"301","57f6aefc42bfc700016ab1e0","134245347",23,48,100,28,0,90,21,0,100,92
